Layer,NoiseStd,Percent,NumSeeds,Phonemic_minus_Neologism_mean,Phonemic_minus_Neologism_t,Phonemic_minus_Neologism_tfce,Phonemic_minus_Neologism_n_valid,Semantic_minus_Neologism_mean,Semantic_minus_Neologism_t,Semantic_minus_Neologism_tfce,Semantic_minus_Neologism_n_valid
0.0,1.8,0.1,40,0.019936708860759496,2.420003842842393,94.17832819411272,40,-0.0011075949367088612,-0.18487650122750127,-0.11875901764302924,40
0.0,1.8,0.2,40,0.007911392405063292,0.8003251211641534,8.562210815596641,40,-0.03322784810126582,-2.2259955480133566,-78.76376112346018,40
0.0,1.8,0.3,40,-0.004905063291139241,-0.30447623867768925,-0.346498785086628,40,-0.03259493670886076,-1.6884547818047957,-73.62113327232026,40
0.0,1.8,0.4,40,0.013765822784810122,1.3088656033412016,35.756066368151025,40,-0.013132911392405064,-1.1612666088483286,-24.553868620234127,40
0.0,1.8,0.5,40,-0.06028481012658228,-1.6784608692433196,-3.9400188213194314,40,-0.06724683544303797,-1.8127406939563355,-90.52888452345685,40
0.0,1.8,0.6,40,-0.03370253164556962,-1.4923199668010654,-3.1249907925918667,40,-0.04731012658227848,-1.874618306091966,-90.73990490033357,40
0.0,1.8,0.7,40,-0.004430379746835446,-0.2946861936707624,-0.31606506838927556,40,-0.020094936708860762,-1.1253409833194736,-22.398035666096295,40
0.0,1.8,0.8,40,-0.025316455696202528,-1.5580575340845417,-40.26778867153352,40,-0.04113924050632911,-2.085371133218755,-135.84600126820584,40
0.0,1.8,0.9,40,-0.04287974683544304,-2.0329902247771208,-55.24144821841556,40,-0.05411392405063291,-2.2372493006605176,-166.50263218816468,40
0.0,1.8,1.0,40,-0.008729812309035356,-1.1878651531412328,-18.39069282872201,29,-0.017023134002618946,-2.2717681843600754,-174.02327101720812,29
0.0,1.9,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,1.9,0.1,40,0.0018987341772151883,0.13346098290961378,0.042792788304271516,40,-0.016930379746835443,-0.9589559424951666,-14.032001305539026,40
0.0,1.9,0.2,40,0.00015822784810126583,0.010785866367643362,6.231055821028437e-05,40,-0.0495253164556962,-2.3520882201222153,-79.70300428374591,40
0.0,1.9,0.3,40,-0.013449367088607594,-0.7292988003044601,-0.7537833006654794,40,-0.03465189873417722,-1.5292381721266148,-55.11136902999845,40
0.0,1.9,0.4,40,-0.005379746835443038,-0.35798170652550204,-0.5523775095993161,40,-0.02958860759493671,-1.6234200371368992,-65.636126904137,40
0.0,1.9,0.5,40,-0.06977848101265824,-1.9835768407275574,-5.396435831700079,40,-0.08006329113924052,-2.239522754364258,-129.60636109359876,40
0.0,1.9,0.6,40,-0.011550632911392402,-0.8336755352779225,-1.2181133655543377,40,-0.02325949367088608,-1.7264243924592315,-78.5418817690163,40
0.0,1.9,0.7,40,-0.003639240506329114,-0.28861743366332215,-0.29806343649833694,40,-0.02357594936708861,-1.353142572342364,-38.51276321568913,40
0.0,1.9,0.8,40,-0.06439873417721517,-2.06711005420603,-83.1560457035727,40,-0.09098101265822785,-2.6513986317895823,-272.2309495126734,40
0.0,1.9,0.9,40,-0.017405063291139243,-1.727444572989458,-54.103011637831564,40,-0.024683544303797465,-2.4417837270374885,-214.5362514583045,40
0.0,1.9,1.0,40,0.001309471846355304,0.16185842423485292,0.0016211867912234942,29,-0.012221737232649499,-2.2656499394382847,-172.67560722761507,29
0.0,2.0,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,2.0,0.1,40,-0.006170886075949365,-0.3001140841599748,-0.33270841078637364,40,-0.020253164556962022,-0.8950908657709555,-11.428455021281826,40
0.0,2.0,0.2,40,-0.030379746835443044,-1.3212078481249665,-1.4365779750734293,40,-0.07341772151898733,-2.5716145906694043,-81.0402468823917,40
0.0,2.0,0.3,40,-0.019462025316455696,-0.8720075926151095,-0.8847718396712705,40,-0.039715189873417725,-1.690431026184075,-73.87229224714756,40
0.0,2.0,0.4,40,0.014556962025316453,1.9812188951507304,117.4046632312709,40,-0.009651898734177215,-1.6566109273893876,-69.6391315131852,40
0.0,2.0,0.5,40,-0.06930379746835443,-2.1512433747533324,-6.117057533641465,40,-0.08180379746835442,-2.4550263636961285,-130.8010441341108,40
0.0,2.0,0.6,40,-0.001265822784810123,-0.0950256177301981,-0.0168761454859781,40,-0.017721518987341773,-1.4490879128389862,-47.0804354493951,40
0.0,2.0,0.7,40,-0.02705696202531645,-1.516187781476349,-37.23511239612594,40,-0.0439873417721519,-2.0574927925612587,-130.67551969751872,40
0.0,2.0,0.8,40,-0.07325949367088606,-2.1167869153768963,-83.37449223676639,40,-0.09873417721518987,-2.6576591387678143,-274.08756223031565,40
