pair_name,pair_a,pair_b,sign,region_rank,size_voxels,tfce_sum,tfce_max,n_valid_mean,n_valid_min,point_type,Layer,NoiseStd,Percent,score_value,idx_layer,idx_noise,idx_percent
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.5,0.3,25825.07206837019,35,4,3
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.7,0.3,25518.688472367598,35,6,3
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,36.0,1.2,0.6,24890.893211239196,36,1,6
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,34.0,1.5,0.4,24779.371049748945,34,4,4
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,34.0,1.2,0.6,24666.287945552525,34,1,6
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,37.0,1.3,0.6,24541.88523757415,37,2,6
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,36.0,1.3,0.4,24403.83405866911,36,2,4
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.4,0.4,24169.09493512431,35,3,4
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.2,0.4,23750.689512087447,35,1,4
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,32.0,1.6,0.3,23648.619779868346,32,5,3
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,33.0,1.5,0.3,23242.513972466877,33,4,3
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,36.0,1.1,0.7,23203.408437162154,36,0,7
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,34.0,1.1,0.7,23183.97006456211,34,0,7
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,38.0,1.4,0.6,23119.471047269588,38,3,6
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.1,0.8,22858.478913510102,35,0,8
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,support,35.0,1.1,0.5,22452.30051694035,35,0,5
Semantic_minus_Neologism,Semantic,Neologism,positive,3,4,93960.26480864329,23980.744274375145,39.0,39,peak,36.0,1.8,0.2,23980.744274375145,36,7,2
Semantic_minus_Neologism,Semantic,Neologism,positive,3,4,93960.26480864329,23980.744274375145,39.0,39,centroid,36.0,1.7,0.2,23752.037767360125,36,6,2
