pair_name,pair_a,pair_b,Layer,NoiseStd,Percent,NumSeeds,n_valid,mean_conjunction,std_conjunction,score_value,tfce_value
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.5,40,40,0.002848101265822785,0.009715571790642369,0.29311791516486035,0.6080482516829455
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.6,40,40,0.008227848101265823,0.024077096426603405,0.3417150573487628,0.7275051191401269
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.7,40,40,0.0056962025316455705,0.022333148236330085,0.25504453858597487,0.4561343300824131
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.8,40,40,0.010601265822784811,0.029491347960337196,0.3594581834258137,0.9733212823253984
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.9,40,40,0.007911392405063292,0.02362709805909683,0.33482984475838506,0.8221047653919737
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,1.0,40,29,0.00392841553906591,0.010753348035234365,0.3652862568884028,1.011966583425544
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.1,40,40,0.010126582278481015,0.03536412599863774,0.2863437353191132,0.5781191675415719
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.2,40,40,0.029430379746835444,0.07331454209828833,0.40142074796883404,0.8509776449547356
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.3,40,40,0.008544303797468355,0.03313750256102947,0.25783614638992064,0.4659528667468781
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.4,40,40,0.008702531645569622,0.029292156554650724,0.2970841202904767,0.626187449431484
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.5,40,40,0.004113924050632911,0.010778092636662275,0.381657732176869,1.1263891730827746
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.6,40,40,0.00379746835443038,0.011974387790870917,0.31710608631189946,0.7248270584717417
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.7,40,40,0.008860759493670885,0.03745177137697946,0.23658488191656749,0.3960979311185406
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.8,40,40,0.015664556962025317,0.04109208842515855,0.3811968767096842,1.1230562803489739
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,0.9,40,40,0.0028481012658227852,0.00623921877939875,0.4564104827903489,1.7671257847928814
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.9,1.0,40,29,0.003055434308162375,0.008045106839773624,0.37974070802275595,1.1125605879239238
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.1,40,40,0.006962025316455697,0.02414525536388738,0.28832732908424186,0.586737141634779
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.2,40,40,0.023892405063291138,0.05559297292255067,0.4297661024617944,0.8558864883591039
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.3,40,40,0.005379746835443039,0.01699186434978722,0.3165885824016716,0.7221354295165741
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.4,40,40,0.00379746835443038,0.01424636541445918,0.26653828577853805,0.49789507484804024
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.5,40,40,0.00791139240506329,0.021246629721547526,0.3723423510642334,1.0602650474564006
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.6,40,40,0.0033227848101265826,0.007978456421413423,0.41641743931449515,1.399741700576417
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.7,40,40,0.009335443037974681,0.027344427936701353,0.3413895390331494,0.8604310035289234
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.8,40,40,0.015822784810126583,0.03536993434654561,0.4473386157997227,1.1862378844002468
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,0.9,40,40,0.0066455696202531635,0.017550877800223776,0.37862442388747924,1.104560307366566
Phonemic_and_Neologism,Phonemic,Neologism,0.0,2.0,1.0,40,29,0.001964207769532955,0.004178943788546417,0.4699124842097487,1.9046919260479895
Phonemic_and_Neologism,Phonemic,Neologism,1.0,1.1,0.0,40,0,,0.0,0.0,0.0
